,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker
217,3,6,2,0,709,4,2,2,4,1,2,1,27,3,2,1,1,2,1,1
539,2,18,0,2,3244,1,3,1,2,1,4,3,33,1,2,2,3,2,2,2
828,2,12,2,5,639,1,3,4,3,1,2,3,30,3,2,1,3,2,1,2
623,1,12,2,2,3590,1,3,2,3,2,2,2,29,3,2,1,2,1,1,2
668,2,18,2,3,866,1,3,4,4,3,2,1,25,3,2,1,2,2,1,2
824,1,24,3,3,1659,1,2,4,2,1,2,3,29,3,1,1,2,2,2,2
421,2,11,4,0,1322,4,3,4,2,1,4,3,40,3,2,2,3,2,1,2
694,4,12,2,2,1768,1,3,3,3,1,2,1,24,3,1,1,2,2,1,2
138,2,6,4,8,932,5,4,1,2,1,3,2,39,3,2,2,2,2,1,2
212,1,24,1,2,2483,3,3,4,3,1,4,1,22,2,2,1,3,2,2,2
616,1,30,4,1,10623,1,5,3,3,1,4,4,38,3,3,3,4,1,2,2
842,4,12,2,2,1123,3,3,4,2,1,4,3,29,3,1,1,2,2,1,2
838,4,18,1,0,6458,1,5,2,3,1,4,4,39,1,2,2,4,1,2,2
866,2,12,2,0,1295,1,2,3,2,1,1,3,25,3,1,1,3,2,1,2
727,4,12,2,0,1884,1,5,4,3,1,4,3,39,3,2,1,4,2,2,2
965,2,48,2,2,9960,1,2,1,2,1,2,3,26,1,2,1,3,2,2,2
701,2,36,4,1,5800,1,3,3,3,1,4,3,34,3,2,2,3,2,2,2
726,4,21,2,0,2782,3,4,1,2,1,2,3,31,1,2,1,4,2,1,2
917,2,12,0,2,2969,1,2,4,2,1,3,2,25,3,1,2,3,2,1,2
716,1,48,2,6,7476,1,4,4,3,1,1,4,50,3,3,1,4,2,2,2
234,2,12,2,0,685,1,4,2,4,1,3,3,25,1,2,1,2,2,1,2
67,4,24,2,3,2284,1,4,4,3,1,2,3,28,3,2,1,3,2,2,2
24,1,6,4,0,4716,5,2,1,3,1,3,1,44,3,2,2,2,1,1,2
381,1,21,2,2,3599,1,4,1,2,1,4,3,26,3,1,1,2,2,1,2
216,4,10,2,1,2901,5,2,1,2,1,4,1,31,3,1,1,3,2,1,2
735,4,6,2,4,1338,3,3,1,1,1,4,1,62,3,2,1,3,2,1,2
129,4,24,4,3,2872,2,5,3,3,1,4,1,36,3,2,1,3,1,2,2
349,4,12,4,6,701,1,3,4,3,1,2,3,32,3,2,2,3,2,1,2
111,1,6,2,2,428,1,5,2,2,1,1,2,49,1,2,1,3,2,2,2
166,4,30,4,3,5771,1,4,4,2,1,2,3,25,3,2,2,3,2,1,2
207,2,15,2,3,1444,5,2,4,3,1,1,2,23,3,2,1,3,2,1,2
438,1,27,4,9,2442,1,5,4,3,1,4,3,43,2,2,4,4,1,2,2
552,4,12,2,0,1101,1,3,3,4,1,2,1,27,3,2,2,3,2,2,2
274,4,24,2,1,2670,1,5,4,3,1,4,3,35,3,2,1,4,2,2,2
974,1,6,2,6,448,1,2,4,2,1,4,2,23,3,2,1,3,2,1,2
591,1,8,4,10,1164,1,5,3,3,1,4,4,51,1,3,2,4,1,2,2
800,1,24,2,0,1381,5,3,4,2,1,2,2,35,3,2,1,3,2,1,2
937,2,18,4,0,884,1,5,4,3,1,4,3,36,3,2,1,3,1,2,2
525,4,36,4,3,9566,1,3,2,2,1,2,3,31,2,2,2,3,2,1,2
287,4,9,2,3,2697,1,3,1,3,1,2,1,32,3,2,1,3,1,1,2
469,4,12,2,6,1393,1,5,4,3,1,4,2,47,1,2,3,3,1,2,2
326,4,10,2,0,1418,2,3,3,3,1,2,1,35,3,1,1,2,2,1,1
121,4,36,4,1,5842,1,5,2,3,1,2,2,35,3,2,2,3,1,2,2
994,1,12,0,3,6199,1,3,4,3,1,2,2,28,3,1,2,3,2,2,2
507,4,24,4,1,6842,5,3,2,3,1,4,2,46,3,2,2,4,1,2,2
228,4,21,2,9,1572,4,5,4,2,1,4,1,36,1,2,1,2,2,1,2
673,2,8,2,3,760,1,4,4,2,3,2,1,44,3,2,1,2,2,1,2
595,1,36,4,2,5371,1,3,3,3,3,2,2,28,3,2,2,3,2,1,2
445,4,12,2,2,1574,1,3,4,3,1,2,1,50,3,2,1,3,2,1,2
117,4,24,2,1,2603,4,3,2,2,1,4,3,28,3,1,1,3,2,2,2
464,2,12,2,0,7472,5,1,1,2,1,2,1,24,3,1,1,1,2,1,2
25,2,11,3,3,4771,1,4,2,3,1,4,2,51,3,2,1,3,2,1,2
110,1,15,2,0,3959,1,3,3,2,1,2,2,29,3,2,1,3,2,2,2
149,2,24,4,3,1743,1,5,4,3,1,2,2,48,3,2,2,2,2,1,2
152,4,48,4,1,8858,5,4,2,3,1,1,4,35,3,3,2,3,2,2,2
528,4,18,2,3,1505,1,3,4,3,1,2,4,32,3,3,1,4,2,2,2
696,3,12,3,0,2247,1,3,2,2,1,2,3,36,2,2,2,3,2,2,2
621,4,24,4,10,6314,1,1,4,3,2,2,4,27,1,2,2,4,2,2,2
461,2,18,4,2,7374,1,1,4,3,1,4,2,40,2,2,2,4,2,2,2
598,1,30,2,3,2522,1,5,1,3,3,3,2,39,3,2,1,3,1,1,2
139,3,24,4,3,3148,5,3,3,3,1,2,3,31,3,2,2,3,2,2,2
749,3,24,2,2,2892,1,5,3,1,1,4,4,51,3,3,1,3,2,1,2
260,4,15,2,2,2708,1,2,2,3,1,3,2,27,1,2,2,2,2,1,2
961,2,12,2,3,1331,1,2,2,3,1,1,3,22,3,2,1,3,2,1,2
323,1,10,4,2,2132,5,2,2,2,2,3,1,27,3,1,2,3,2,1,1
897,4,27,2,0,2570,1,3,3,2,1,3,1,21,3,1,1,3,2,1,2
248,2,15,2,5,2631,2,3,3,2,1,2,1,25,3,2,1,2,2,1,2
450,2,12,2,3,766,3,3,4,3,1,3,1,66,3,2,1,2,2,1,2
410,4,13,2,3,1409,2,1,2,2,1,4,1,64,3,2,1,3,2,1,2
607,1,6,4,0,609,1,4,4,2,1,3,2,37,3,2,2,3,2,1,2
19,4,11,4,0,7228,1,3,1,3,1,4,2,39,3,2,2,2,2,1,2
328,4,18,2,0,2662,5,4,4,3,1,3,2,32,3,2,1,3,2,1,1
296,4,9,2,2,2301,2,2,2,2,1,4,2,22,3,1,1,3,2,1,2
269,4,15,1,3,1569,2,5,4,3,1,4,3,34,1,2,1,2,1,1,2
226,1,18,2,0,4380,2,3,3,3,1,4,3,35,3,2,1,2,1,2,2
94,2,18,4,2,6361,1,5,2,3,1,1,4,41,3,2,1,3,2,2,2
515,2,24,2,3,2896,2,2,2,3,1,1,3,29,3,2,1,3,2,1,2
841,2,18,4,2,1928,1,2,2,3,1,2,1,31,3,2,2,2,2,1,2
637,1,13,4,9,1797,1,2,3,3,1,1,2,28,1,2,2,2,2,1,2
280,3,6,3,3,683,1,2,2,2,1,1,2,29,1,2,1,3,2,1,2
286,1,6,4,3,338,3,5,4,3,1,4,3,52,3,2,2,3,2,1,2
589,2,12,2,2,3017,1,2,3,2,1,1,1,34,3,1,1,4,2,1,2
930,2,18,4,0,1056,1,5,3,3,3,3,1,30,3,2,2,3,2,1,2
444,4,12,4,3,618,1,5,4,3,1,4,1,56,3,2,1,3,2,1,2
184,4,9,2,9,1449,1,4,3,2,1,2,3,27,3,2,2,3,2,1,2
371,4,24,4,3,2578,4,5,2,3,1,2,3,34,3,2,1,3,2,1,2
872,4,18,2,3,433,1,1,3,2,2,4,1,22,3,1,1,3,2,1,2
976,2,48,0,10,18424,1,3,1,2,1,2,2,32,1,2,1,4,2,2,1
275,4,12,1,8,3447,3,3,4,2,1,3,1,35,3,2,1,2,1,1,2
806,2,18,0,0,2278,2,2,3,2,1,3,3,28,3,2,2,3,2,1,2
935,1,20,4,0,2235,1,3,4,4,3,2,2,33,1,1,2,3,2,1,1
182,1,30,0,9,8072,5,2,2,3,1,3,3,25,1,2,3,3,2,1,2
32,4,36,4,0,6614,1,5,4,3,1,4,3,34,3,2,2,4,2,2,2
80,4,24,4,0,2022,1,3,4,2,1,4,3,37,3,2,1,3,2,2,2
307,4,6,1,0,783,5,3,1,3,3,2,1,26,2,2,1,2,1,1,2
770,1,24,2,3,1823,1,1,4,3,1,2,3,30,2,2,1,4,1,1,2
11,1,30,4,1,6187,2,4,1,4,1,4,3,24,3,1,2,3,2,1,2
43,2,24,4,9,2825,5,4,4,3,1,3,4,34,3,2,2,3,1,2,2
86,4,24,4,1,2346,1,4,4,3,1,3,3,35,3,2,2,3,2,2,2
778,2,18,4,3,1245,1,3,4,4,1,2,3,33,3,2,1,3,2,1,2
36,4,12,4,0,1495,1,5,4,3,1,1,1,38,3,2,2,2,1,1,2
980,2,24,2,3,2039,1,2,1,4,1,1,2,22,3,2,1,3,2,2,2
58,4,21,2,3,3160,5,5,4,3,1,3,2,41,3,2,1,3,2,2,2
41,1,24,2,10,1755,1,5,4,2,3,4,1,58,3,2,1,2,2,2,2
782,2,36,2,0,14318,1,5,4,3,1,2,4,57,3,3,1,4,2,2,2
411,4,24,3,9,2978,5,3,4,3,1,4,1,32,3,2,2,3,1,2,2
562,2,60,2,0,7408,2,2,4,2,1,2,2,24,3,2,1,4,2,1,2
209,4,9,2,3,2753,2,5,3,3,2,4,3,35,3,2,1,3,2,2,2
148,4,12,2,9,1542,1,4,2,3,1,4,3,36,3,2,1,3,2,2,2
739,2,20,0,1,6148,2,5,3,4,1,4,3,31,1,2,2,3,2,2,2
594,1,30,0,2,4583,1,3,2,1,3,2,1,32,3,2,2,3,2,1,2
123,4,15,4,3,1459,1,3,4,2,1,2,3,43,3,2,1,2,2,1,2
734,1,36,2,1,5493,1,5,2,3,1,4,4,42,3,3,1,3,1,1,2
574,2,36,2,1,6948,1,3,2,3,1,2,3,35,3,1,1,4,2,2,2
98,1,9,2,2,2136,1,3,3,3,1,2,1,25,3,2,1,3,2,1,2
377,2,27,3,1,5965,1,5,1,3,1,2,3,30,3,2,2,4,2,2,2
130,3,24,2,2,1925,1,3,2,3,1,2,1,26,3,2,1,3,2,1,2
699,1,24,4,3,1231,4,5,4,2,1,4,2,57,3,1,2,4,2,2,2
23,2,12,4,4,1424,1,4,4,3,1,3,2,26,3,2,1,3,2,1,2
869,2,24,2,0,1355,1,2,3,2,1,4,3,25,3,2,1,2,2,2,2
555,4,33,3,9,2764,1,3,2,2,1,2,3,26,3,2,2,3,2,2,2
370,1,24,2,9,6568,1,3,2,4,1,2,3,21,2,2,1,2,2,1,2
512,2,24,4,0,3878,2,2,4,1,1,2,3,37,3,2,1,3,2,2,2
383,2,9,2,0,276,1,3,4,4,1,4,1,22,3,1,1,2,2,1,2
201,4,28,1,1,7824,5,2,3,3,3,4,1,40,1,1,2,3,1,2,2
368,1,15,2,0,1403,1,3,2,2,1,4,3,28,3,1,1,3,2,1,2
554,2,11,2,2,1577,4,2,4,2,1,1,1,20,3,2,1,3,2,1,2
610,2,12,2,0,836,2,2,4,2,1,2,2,23,1,2,1,2,2,1,2
387,4,24,2,0,7393,1,3,1,3,1,4,2,43,3,2,1,2,1,1,2
861,1,48,2,9,4308,1,2,3,2,1,4,2,24,3,1,1,3,2,1,2
816,3,10,2,0,1240,2,5,1,2,1,4,4,48,3,3,1,2,1,1,2
292,4,6,4,3,1898,5,3,1,3,1,2,1,34,3,2,2,2,1,1,2
690,4,60,2,3,10144,2,4,2,2,1,4,1,21,3,2,1,3,2,2,2
256,1,15,3,2,3643,1,5,1,2,1,4,2,27,3,2,2,2,2,1,2
606,2,6,3,2,1050,1,1,4,3,1,1,2,35,2,2,2,4,2,2,1
197,4,18,4,2,1817,1,3,4,2,1,2,4,28,3,2,2,3,2,1,2
95,4,27,4,2,4526,4,2,4,3,1,2,1,32,2,2,2,2,1,2,2
962,2,54,0,9,15945,1,2,3,3,1,4,4,58,3,1,1,3,2,2,2
943,2,36,2,0,12389,5,3,1,3,1,4,4,37,1,3,1,3,2,2,2
169,4,6,4,3,1382,1,3,1,2,1,1,3,28,3,2,2,3,2,2,2
581,1,24,2,2,2359,2,1,1,1,1,1,2,33,3,2,1,3,2,1,2
305,4,24,2,0,1469,2,5,4,4,1,4,1,41,3,1,1,2,2,1,2
560,4,20,4,0,3485,5,2,2,1,1,4,1,44,3,2,2,3,2,2,2
853,3,24,4,0,1344,5,4,4,3,1,2,1,37,1,2,2,2,1,1,2
373,1,6,2,4,343,1,2,4,2,1,1,1,27,3,2,1,3,2,1,2
719,2,72,2,3,5595,2,3,2,4,1,2,3,24,3,2,1,3,2,1,2
791,3,15,2,3,2327,1,2,2,2,1,3,1,25,3,2,1,2,2,1,2
227,4,14,3,0,802,1,3,4,3,1,2,3,27,3,2,2,2,2,1,2
660,2,8,2,3,1414,1,3,4,3,3,2,1,33,3,2,1,3,2,1,1
143,4,9,4,2,2406,1,1,2,3,1,3,3,31,3,2,1,4,2,1,2
846,2,30,3,3,1919,2,2,4,3,1,3,4,30,2,2,2,4,2,1,2
180,4,9,2,4,1236,1,2,1,2,1,4,1,23,3,1,1,3,2,2,2
868,2,12,2,2,951,2,2,4,2,1,4,3,27,1,1,4,3,2,1,2
131,4,18,2,2,2515,1,3,3,3,1,4,1,43,3,2,1,3,2,2,2
949,4,12,4,3,797,5,5,4,2,1,3,2,33,3,2,1,2,1,1,2
47,4,18,4,6,1864,2,3,4,2,1,2,1,30,3,2,2,3,2,1,2
774,1,36,3,9,2145,1,4,2,3,1,1,3,24,3,2,2,3,2,2,2
324,4,10,2,0,1546,1,3,3,3,1,2,1,31,3,2,1,2,1,1,1
203,1,24,2,2,7721,5,2,1,2,1,2,2,30,3,2,1,3,2,2,1
84,4,15,4,2,1520,5,5,4,3,1,4,2,63,3,2,1,3,2,1,2
633,1,36,2,2,3959,1,1,4,3,1,3,2,30,3,2,1,4,2,2,2
565,2,24,3,3,1553,2,4,3,2,1,2,2,23,3,1,2,3,2,2,2
611,1,12,2,2,2577,1,3,2,1,1,1,3,42,3,2,1,3,2,1,2
398,4,12,3,1,1503,1,3,4,4,1,4,1,41,3,1,1,3,2,1,2
896,4,21,3,9,2580,3,2,4,3,1,2,1,41,1,2,1,2,1,1,2
91,2,30,2,3,2991,5,5,2,2,1,4,3,25,3,2,1,3,2,1,2
82,2,18,2,0,5866,2,3,2,3,1,2,3,30,3,2,2,3,2,2,2
430,4,30,4,3,4530,1,4,4,2,1,4,3,26,3,1,1,4,2,2,2
779,4,15,2,6,4623,2,3,3,3,1,2,2,40,3,2,1,4,2,2,2
119,4,24,2,2,3062,3,5,4,3,1,3,4,32,3,1,1,3,2,2,2
870,1,48,2,4,3051,1,3,3,3,1,4,3,54,3,2,1,3,2,1,2
291,4,15,2,2,2221,3,3,2,2,1,4,3,20,3,1,1,3,2,1,2
57,1,15,2,3,1053,1,2,4,4,1,2,1,27,3,2,1,3,2,1,1
321,4,12,2,3,2073,2,3,4,2,2,2,1,28,3,2,1,3,2,1,2
257,4,10,4,2,2146,1,2,1,2,1,3,1,23,3,1,2,3,2,1,2
888,1,24,2,3,2439,1,2,4,2,1,4,1,35,3,2,1,3,2,2,2
947,4,30,1,1,7485,5,1,4,2,1,1,1,53,1,2,1,4,2,2,2
442,1,39,4,2,14179,5,4,4,3,1,4,2,30,3,2,2,4,2,2,2
42,4,18,4,0,1028,1,3,4,2,1,3,1,36,3,2,2,3,2,1,2
617,1,18,2,0,2249,2,4,4,3,1,3,3,30,3,2,1,4,1,2,2
388,3,10,2,4,1225,1,3,2,3,1,2,3,37,3,2,1,3,2,2,2
335,1,24,2,2,1747,1,2,4,3,2,1,2,24,3,2,1,2,2,1,1
273,4,24,2,2,2835,3,5,3,3,1,4,2,53,3,2,1,3,2,1,2
756,1,24,4,0,1199,1,5,4,3,1,4,3,60,3,2,2,2,2,1,2
488,4,12,2,9,1076,1,3,2,4,1,2,1,26,3,2,1,3,2,2,2
550,2,12,2,0,2002,1,4,3,3,1,4,2,30,3,1,1,3,1,2,2
901,1,12,2,0,2579,1,2,4,3,1,1,1,33,3,2,1,2,1,1,2
53,4,12,4,3,2331,5,5,1,3,2,4,1,49,3,2,1,3,2,2,2
932,2,12,2,0,1223,1,5,1,1,1,1,1,46,3,1,2,3,2,1,2
936,2,9,2,2,959,1,3,1,2,1,2,3,29,1,2,1,3,2,1,2
128,4,18,2,0,1820,1,3,2,4,1,2,2,30,3,2,1,4,2,2,2
802,1,24,2,0,1371,5,3,4,2,1,4,1,25,3,1,1,3,2,1,2
28,4,15,2,0,3556,5,3,3,3,1,2,4,29,3,2,1,3,2,1,2
183,4,30,4,3,2831,1,3,4,2,1,2,3,33,3,2,1,3,2,2,2
882,1,48,2,0,7763,1,5,4,3,1,4,4,42,1,3,1,4,2,1,2
459,4,12,2,1,2445,5,2,2,4,1,4,3,26,3,1,1,3,2,2,2
510,4,6,4,0,2080,3,3,1,4,1,2,3,24,3,2,1,3,2,1,2
675,3,6,4,0,1323,2,5,2,1,1,4,3,28,3,2,2,3,1,2,2
151,4,12,2,3,2171,1,2,2,2,1,2,3,29,1,2,1,3,2,1,2
244,4,6,1,3,1750,3,5,2,3,1,4,2,45,1,2,1,2,1,1,2
714,4,6,2,0,3518,1,3,2,3,3,3,2,26,3,1,1,3,2,1,2
543,2,18,4,2,1295,1,2,4,2,1,1,2,27,3,2,2,3,2,1,2
544,4,4,4,3,1544,1,4,2,3,1,1,1,42,3,2,3,2,1,1,2
639,1,24,4,1,2957,1,5,4,3,1,4,2,63,3,2,2,3,2,2,2
697,4,24,2,3,1413,1,3,4,4,1,2,2,28,3,2,1,3,2,1,2
265,4,22,2,3,2675,3,5,3,3,1,4,3,40,3,2,1,3,2,1,2
288,4,9,2,0,2507,3,5,2,3,1,4,4,51,3,3,1,2,2,1,2
423,4,12,2,0,2133,5,5,4,2,1,4,4,52,3,3,1,4,2,2,2
910,1,24,3,0,4870,1,3,3,3,1,4,4,53,3,3,2,3,1,1,2
147,1,12,2,2,1262,5,5,2,1,1,4,2,49,3,2,1,2,2,2,2
659,2,6,2,3,590,1,2,3,4,1,3,1,26,3,2,1,2,2,1,1
797,3,21,4,6,2319,1,2,2,1,1,1,3,33,3,1,1,3,2,1,2
966,4,24,3,9,8648,1,2,2,3,1,2,3,27,1,2,2,3,2,2,2
177,2,12,4,1,1804,2,2,3,3,1,4,2,44,3,2,1,3,2,1,2
99,2,42,4,9,5954,1,4,2,2,1,1,1,41,1,2,2,2,2,1,2
850,2,45,2,3,3031,2,3,4,3,3,4,2,21,3,1,1,3,2,1,2
448,4,36,2,1,4686,1,3,2,3,1,2,4,32,3,3,1,4,2,2,2
431,4,12,3,5,1555,4,5,4,3,1,4,4,55,3,3,2,3,1,1,2
847,2,60,1,10,14782,2,5,3,2,1,4,4,60,1,3,2,4,2,2,2
709,4,48,4,6,6110,1,3,1,3,1,3,4,31,1,3,1,3,2,2,2
755,1,15,0,0,950,1,5,4,3,1,3,3,33,3,1,2,3,1,1,2
115,2,18,2,0,6260,1,4,3,3,1,3,1,28,3,1,1,2,2,1,2
916,1,12,2,2,1282,1,3,2,2,1,4,3,20,3,1,1,3,2,1,2
777,1,6,4,2,3384,1,3,1,1,1,4,1,44,3,1,1,4,2,2,2
72,4,36,2,3,2299,3,5,4,3,1,4,3,39,3,2,1,3,2,1,2
845,2,27,4,3,2520,3,3,4,3,1,2,2,23,3,2,2,2,2,1,2
537,4,4,4,0,1455,1,4,2,3,1,1,1,42,3,2,3,2,1,1,2
677,2,18,4,3,1795,1,5,3,2,3,4,1,48,1,1,2,2,2,2,2
849,2,36,2,6,12612,2,3,1,3,1,4,4,47,3,3,1,3,1,2,2
983,1,18,2,3,1882,1,3,4,2,1,4,3,25,1,1,2,3,2,1,2
174,4,12,2,3,1963,1,4,4,3,1,2,3,31,3,1,2,4,1,2,2
87,4,36,3,3,4454,1,3,4,2,1,4,1,34,3,2,2,3,2,1,2
551,4,12,4,6,2096,1,4,2,3,1,3,1,49,3,2,1,2,1,1,2
486,4,18,4,2,3780,1,2,3,1,1,2,3,35,3,2,2,4,2,2,2
705,4,15,2,4,1262,3,4,4,3,1,3,2,36,3,2,2,3,2,2,2
314,1,6,2,0,662,1,2,3,3,1,4,1,41,3,2,1,2,1,2,2
396,2,24,3,3,6403,1,2,1,3,1,2,3,33,3,2,1,3,2,1,2
600,1,36,2,1,8229,1,3,2,3,1,2,2,26,3,2,1,3,1,1,2
472,4,36,2,9,7409,5,5,3,3,1,2,2,37,3,2,2,3,2,1,2
70,2,21,4,2,2745,4,4,3,3,1,2,3,32,3,2,2,3,2,2,2
599,1,36,2,2,5179,1,4,4,3,1,2,2,29,3,2,1,3,2,1,2
804,1,12,2,0,900,5,3,4,4,1,2,3,23,3,2,1,3,2,1,2
754,2,6,2,0,14555,5,1,1,3,1,2,2,23,3,2,1,1,2,2,2
277,2,21,4,9,3652,1,4,2,3,1,3,2,27,3,2,2,3,2,1,2
723,4,36,3,1,8947,5,4,3,3,1,2,3,31,2,2,1,4,1,2,2
9,2,24,2,3,3758,3,1,1,2,1,4,4,23,3,1,1,1,2,1,2
359,4,15,4,0,5045,5,5,1,2,1,4,3,59,3,2,1,3,2,2,2
707,2,30,4,0,2181,5,5,4,3,1,4,1,36,3,2,2,3,2,1,2
763,2,60,2,6,6288,1,3,4,3,1,4,4,42,3,3,1,3,2,1,2
835,2,24,2,1,11560,1,3,1,2,1,4,3,23,3,1,2,4,2,1,2
192,2,48,2,0,8487,5,4,1,2,1,2,3,24,3,2,1,3,2,1,2
629,1,12,2,2,2578,1,1,3,2,1,4,4,55,3,3,1,4,2,1,2
559,2,14,2,9,1410,3,5,1,4,1,2,1,35,3,2,1,3,2,2,2
684,1,12,2,3,2214,1,3,4,3,1,3,2,24,3,2,1,2,2,1,2
